Date,Consumption,Metadata_1,Metadata_2,Metadata_3
1990-05-02 10:00:00,0.8995159605543748,0.47747747747747754,0.03,0.17289719626168226
1990-05-02 11:00:00,0.905014236651233,0.5405405405405406,0.0,0.15887850467289721
1990-05-02 12:00:00,0.9010869139750518,0.5975975975975976,0.0,0.1869158878504673
1990-05-02 13:00:00,0.8995160823053941,0.6516516516516517,0.0,0.18457943925233647
1990-05-02 14:00:00,0.8688838298634192,0.6966966966966968,0.0,0.17757009345794392
1990-05-02 15:00:00,0.8468915777331272,0.7357357357357358,0.0,0.17289719626168226
1990-05-02 16:00:00,0.8311827740324804,0.7567567567567568,0.0,0.1542056074766355
1990-05-02 17:00:00,0.8170448628770005,0.7687687687687689,0.0,0.1425233644859813
1990-05-02 18:00:00,0.8146884936214945,0.7657657657657658,0.0,0.11682242990654207
1990-05-02 19:00:00,0.8343244982473033,0.7537537537537539,0.0,0.09112149532710281
1990-05-02 20:00:00,0.8539605028731119,0.7297297297297298,0.0,0.03504672897196262
1990-05-02 21:00:00,0.8826553313219667,0.6756756756756758,0.0,0.042056074766355145
1990-05-02 22:00:00,0.8908762646202426,0.6306306306306307,0.0,0.09579439252336448
1990-05-02 23:00:00,0.8783091851344204,0.5885885885885886,0.0,0.1308411214953271
1990-05-03 00:00:00,0.852389549452435,0.5465465465465466,0.0,0.23598130841121495
1990-05-03 01:00:00,0.8610295497641175,0.5075075075075075,0.0,0.25934579439252337
1990-05-03 02:00:00,0.7984560996561321,0.4714714714714715,0.0,0.24532710280373834
1990-05-03 03:00:00,0.7903399331112069,0.43843843843843844,0.0,0.23364485981308414
1990-05-03 04:00:00,0.7966233815408524,0.41741741741741745,0.0,0.20327102803738317
1990-05-03 05:00:00,0.781700054550545,0.40240240240240244,0.0,0.17289719626168226
1990-05-03 06:00:00,0.8091903392756554,0.3933933933933934,0.0,0.1542056074766355
1990-05-03 07:00:00,0.8209719420511417,0.3813813813813814,0.0,0.1658878504672897
1990-05-03 08:00:00,0.8979451288847171,0.3663663663663664,0.0,0.14953271028037385
1990-05-03 09:00:00,0.9273728984784592,0.3483483483483484,0.0,0.14018691588785048
1990-05-03 10:00:00,0.916795656800188,0.46246246246246253,0.0,0.12149532710280375
1990-05-03 11:00:00,0.912083040040197,0.5885885885885886,0.0,0.04906542056074767
1990-05-03 12:00:00,0.8830218018944097,0.6756756756756758,0.0,0.042056074766355145
1990-05-03 13:00:00,0.8704547224085858,0.7417417417417418,0.0,0.01869158878504673
1990-05-03 14:00:00,0.8406079466769488,0.7897897897897899,0.0,0.016355140186915886
1990-05-03 15:00:00,0.8437498535183028,0.8258258258258259,0.0,0.016355140186915886
1990-05-03 16:00:00,0.8476769935679542,0.8438438438438439,0.0,0.009345794392523366
1990-05-03 17:00:00,0.8476769935679542,0.8558558558558559,0.0,0.03738317757009346
1990-05-03 18:00:00,0.8445350867266005,0.8558558558558559,0.0,0.053738317757009345
1990-05-03 19:00:00,0.8462630989640384,0.8378378378378378,0.0,0.07943925233644861
1990-05-03 20:00:00,0.868831416048988,0.7867867867867868,0.0,0.21261682242990654
1990-05-03 21:00:00,0.9090984355176458,0.7267267267267268,0.0,0.31542056074766356
1990-05-03 22:00:00,0.9055377660404383,0.6786786786786788,0.0,0.34345794392523366
1990-05-03 23:00:00,0.8927612747989327,0.6306306306306307,0.0,0.3037383177570094
1990-05-04 00:00:00,0.8463678657173904,0.5735735735735736,0.0,0.2967289719626168
1990-05-04 01:00:00,0.8662657567888227,0.5375375375375375,0.0,0.4649532710280374
1990-05-04 02:00:00,0.8089286354565632,0.5255255255255256,0.0,0.6051401869158879
1990-05-04 03:00:00,0.781857113367306,0.5225225225225225,0.0,0.6144859813084113
1990-05-04 04:00:00,0.7917012921496708,0.5075075075075075,0.0,0.5607476635514019
1990-05-04 05:00:00,0.7699183300240399,0.4864864864864865,0.0,0.49299065420560756
1990-05-04 06:00:00,0.7999221645724378,0.4564564564564565,0.0,0.4369158878504673
1990-05-04 07:00:00,0.8219144775782403,0.4264264264264264,0.0,0.39485981308411217
1990-05-04 08:00:00,0.8960601187060284,0.40240240240240244,0.0,0.352803738317757
1990-05-04 09:00:00,0.9340230001070804,0.3783783783783784,0.0,0.3317757009345794
1990-05-04 10:00:00,0.8958507069503466,0.48948948948948956,0.0,0.2990654205607477
1990-05-04 11:00:00,0.8676794687662059,0.6126126126126126,0.0,0.19626168224299068
1990-05-04 12:00:00,0.8569451682711721,0.7057057057057058,0.0,0.25
1990-05-04 13:00:00,0.8493001781765314,0.7657657657657658,0.0,0.25
1990-05-04 14:00:00,0.8372568107064442,0.8048048048048049,0.0,0.21495327102803738
1990-05-04 15:00:00,0.8444305025997796,0.8318318318318318,0.0,0.17757009345794392
1990-05-04 16:00:00,0.8461060401472773,0.8498498498498499,0.0,0.1518691588785047
1990-05-04 17:00:00,0.8436451476404626,0.8558558558558559,0.0,0.11682242990654207
1990-05-04 18:00:00,0.8377281089077495,0.8528528528528528,0.0,0.09345794392523366
1990-05-04 19:00:00,0.8331200762745794,0.8318318318318318,0.0,0.08411214953271029
1990-05-04 20:00:00,0.8950652302400074,0.7957957957957958,0.0,0.14485981308411217
1990-05-04 21:00:00,0.9119260420989466,0.7327327327327328,0.0,0.18457943925233647
1990-05-04 22:00:00,0.9026578065202184,0.6726726726726727,0.0,0.21495327102803738
1990-05-04 23:00:00,0.8723922072772176,0.6156156156156156,0.0,0.21495327102803738
1990-05-05 00:00:00,0.8768953514060147,0.5555555555555556,0.0,0.19626168224299068
1990-05-05 01:00:00,0.8315493663559441,0.5045045045045046,0.0,0.26869158878504673
1990-05-05 02:00:00,0.7969899129888072,0.47747747747747754,0.0,0.3808411214953271
1990-05-05 03:00:00,0.7799721031886174,0.47447447447447455,0.0,0.47897196261682246
1990-05-05 04:00:00,0.7865697301272969,0.46246246246246253,0.0,0.4976635514018692
1990-05-05 05:00:00,0.7931674179414868,0.44444444444444453,0.0,0.4602803738317757
1990-05-05 06:00:00,0.795628493074833,0.41741741741741745,0.0,0.42056074766355145
1990-05-05 07:00:00,0.8315493054804337,0.3963963963963964,0.0,0.3901869158878505
1990-05-05 08:00:00,0.8913997331339375,0.3783783783783784,0.0,0.34813084112149534
1990-05-05 09:00:00,0.9175287196960945,0.3633633633633634,0.0,0.31775700934579443
1990-05-05 10:00:00,0.8709783126733016,0.4684684684684685,0.0,0.2616822429906542
1990-05-05 11:00:00,0.865008981877178,0.5885885885885886,0.0,0.14485981308411217
1990-05-05 12:00:00,0.859720421913552,0.6816816816816818,0.0,0.13785046728971964
1990-05-05 13:00:00,0.8423360197898987,0.7507507507507508,0.0,0.10981308411214954
1990-05-05 14:00:00,0.8462632815905696,0.7957957957957958,0.0,0.060747663551401876
1990-05-05 15:00:00,0.8602438904272469,0.8318318318318318,0.0,0.05140186915887851
1990-05-05 16:00:00,0.8602438904272469,0.8528528528528528,0.0,0.0677570093457944
1990-05-05 17:00:00,0.8695121260059752,0.8648648648648649,0.0,0.058411214953271035
1990-05-05 18:00:00,0.8330154312722498,0.8618618618618619,0.0,0.06542056074766354
1990-05-05 19:00:00,0.8515518415541956,0.8438438438438439,0.0,0.12149532710280375
1990-05-05 20:00:00,0.8664227547300732,0.7957957957957958,0.0,0.20794392523364488
1990-05-05 21:00:00,0.8714496108746069,0.7447447447447448,0.0,0.2663551401869159
1990-05-05 22:00:00,0.9016105651152764,0.6906906906906908,0.0,0.2780373831775701
1990-05-05 23:00:00,0.8857445808468479,0.6306306306306307,0.0,0.2663551401869159
1990-05-06 00:00:00,0.8542222066922027,0.5735735735735736,0.0,0.25700934579439255
1990-05-06 01:00:00,0.8172019216937613,0.5345345345345346,0.0,0.2780373831775701
1990-05-06 02:00:00,0.7998175195701065,0.5075075075075075,0.0,0.3060747663551402
1990-05-06 03:00:00,0.8073053899724772,0.4834834834834836,0.0,0.32009345794392524
1990-05-06 04:00:00,0.773269587745565,0.46246246246246253,0.0,0.31542056074766356
1990-05-06 05:00:00,0.7803385737610603,0.43843843843843844,0.0,0.28971962616822433
1990-05-06 06:00:00,0.7941098925930767,0.41741741741741745,0.0,0.25233644859813087
1990-05-06 07:00:00,0.8551648030948132,0.3963963963963964,0.0,0.21028037383177572
1990-05-06 08:00:00,0.9198706005801321,0.38438438438438444,0.0,0.1799065420560748
1990-05-06 09:00:00,0.9136541152118949,0.3783783783783784,0.0,0.17056074766355142
1990-05-06 10:00:00,0.9140690426905963,0.4834834834834836,0.0,0.147196261682243
1990-05-06 11:00:00,0.9261371864934042,0.6066066066066066,0.0,0.042056074766355145
1990-05-06 12:00:00,0.9057995307350412,0.7027027027027027,0.0,0.01869158878504673
1990-05-06 13:00:00,0.881622578288493,0.7717717717717718,0.0,0.01869158878504673
1990-05-06 14:00:00,0.8558251197558253,0.8258258258258259,0.0,0.03504672897196262
1990-05-06 15:00:00,0.8557184658616526,0.8588588588588589,0.0,0.07242990654205608
1990-05-06 16:00:00,0.8495585947180639,0.8768768768768769,0.11,0.11682242990654207
1990-05-06 17:00:00,0.8508189004093084,0.885885885885886,0.26,0.1308411214953271
1990-05-06 18:00:00,0.8473571536364567,0.8768768768768769,0.2,0.14953271028037385
1990-05-06 19:00:00,0.8413935451383089,0.8558558558558559,0.15,0.20794392523364488
1990-05-06 20:00:00,0.8571023488389555,0.8198198198198199,0.07,0.29205607476635514
1990-05-06 21:00:00,0.8640141542866674,0.7657657657657658,0.06,0.34813084112149534
1990-05-06 22:00:00,0.8929182727401833,0.7147147147147148,0.22,0.3504672897196262
